decoder,Mean_IoU,Std_IoU,Max_IoU,Count
deeplabv3,0.8175403028726578,0.008589250417094862,0.8251206080118815,4
deeplabv3plus,0.8926768451929092,0.008968788259374694,0.9012903571128845,4
unet,0.8986149281263351,0.0021284019302826584,0.9013328949610392,4
